Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Ashoka Mahal,5.0,1 review,Banquet Hall,"KK Nagar, Chennai ",₹300per plate,300-500,,+2 more
Selvi Mahal,5.0,1 review,Banquet Hall,"Ambattur, Chennai ",₹300per plate,350-550,,+2 more
SPP Gardens,5.0,18 reviews,Wedding Lawn,"Maduravoyal, Chennai ","₹1,400per plate",150-3000,18,+5 more
Jawhar Grand Palace,5.0,2 reviews,Convention Hall,"Purasawakkam, Chennai ",₹350per plate,1000-1500,,+3 more
Chennai Convention Centre,5.0,2 reviews,Convention Hall,"Injambakkam, Chennai ","₹45,000per function",150-650,,+3 more
Hotel Halez,5.0,4 reviews,Hotel,"Sholinganallur, Chennai ","₹1,100per plate",50-500,109,+3 more
PRN Thirumana Mandapam,5.0,1 review,Kalyana Mandapam,Chennai ,Price on Request,1200-2000,,+2 more
"Trident, Chennai",4.9,6 reviews,Banquet Hall,Chennai ,"₹1,300per plate",225-450,,+2 more
Shree Ramdayal Kalavati Khemka Agarwal Sabha Bhavan,5.0,2 reviews,Banquet Hall,"Anna Nagar, Chennai ",₹300per plate,360-600,,+2 more
Rutland Gate Terraces,5.0,4 reviews,Banquet Hall,"Nungambakkam, Chennai ",₹400per plate,300-450,,+2 more
AVM Garden Villa,5.0,4 reviews,Lawn & Banquet Hall,"Vadapalani, Chennai ","₹1,25,000per function",120-800,,+3 more
Orchid Resorts Ecr,4.5,2 reviews,Resort,"Uthandi, Chennai ",₹800per plate,800-1200,30,+3 more
Samaaya Beachside Celebrations,5.0,2 reviews,Lawn & Banquet Hall,"Vadanemmeli, Chennai ",Price on Request,80-1000,2,+3 more
The Bentley Seaside Boutique Hotel,5.0,1 review,Banquet Hall,"Thiruvanmiyur, Chennai ",₹800per plate,100-300,29,+3 more
The Residency Towers,5.0,1 review,5 Star Hotel,"T Nagar, Chennai ","₹1,000per plate",240-400,174,+3 more
Silver Palace Banquets & Lawn,5.0,1 review,Large Lawn & Banquet,Pimpri Chinchwad ,₹900per plate,750-2500,22,+4 more
Inventree Hotel Pune,,5 reviews,Hotel with Banquet & Lawn,"Hinjewadi, Pimpri Chinchwad ",₹799per plate,180-700,72,+3 more
The Fern An Ecotel Hotel,5.0,2 reviews,Hotel,Lonavala ,"₹1,700per plate",120-1000,81,+3 more
Srushti Garden,5.0,1 review,Wedding Lawn,"Erandwane, Pune ",Price on Request,800-1200,,+2 more
Prashant Banquet Hall,5.0,1 review,Banquet Hall,"Kothrud, Pune ",₹275per plate,225-350,,+2 more
Cocoon Hotel,4.8,2 reviews,4 Star Hotel,Pune ,₹750per plate,90-150,118,+3 more
Alankaran Lawns,5.0,1 review,Wedding Lawn,Pune ,Price on Request,500-700,,+2 more
RutuGandh Resort,5.0,1 review,Resort,Pune ,₹350per plate,500-700,40,+4 more
Courtyard Marriott Pune Chakan,5.0,3 reviews,Hotel,"Pimpri Chinchwad, Pimpri Chinchwad ","₹1,444per plate",300-500,175,+3 more
Hotel Parc Estique,5.0,1 review,4 Star Hotel,"Viman Nagar, Pune ","₹1,050per plate",120-400,115,+3 more
Town Plaza Banquets,5.0,6 reviews,Hotel,Pune ,₹900per plate,300-500,30,+3 more
"Yogiraj Hall, Talegaon",5.0,2 reviews,Banquet Hall,Pune ,₹300per plate,300-450,,+2 more
Sanctuary Banquets,5.0,1 review,Banquet Hall,Pimpri Chinchwad ,₹750per plate,350-500,2,+3 more
Pandhari Garden Mangal Karyalaya,5.0,1 review,Wedding Lawn,"Pimpri, Pimpri Chinchwad ",₹500per plate,800-1200,,+2 more
Roofdine Restaurant & Banquets,5.0,1 review,Banquet Hall,"Viman Nagar, Pune ",Price on Request,410-600,,+2 more
"Prathamesh Go Crazy Resort, Donje",5.0,3 reviews,Resort,Pune ,"₹1,200per plate",150-400,34,+4 more
Khushi Farm,5.0,1 review,Banquet Hall,Pune ,₹350per plate,200-300,6,+3 more
Sejals World,4.9,7 reviews,Resort Near Pune,Pune ,₹999per plate,150-1700,64,+3 more
The Fern Residency MIDC Pune,4.8,3 reviews,Hotel,"Bhosari, Pimpri Chinchwad ",₹699per plate,50-250,40,+3 more
Hotel Shantai,5.0,1 review,Hotel,Pune ,"₹1,100per plate",200-300,60,+3 more
Vintage Greens Farm,5.0,11 reviews,Banquet Hall & Lawn,Lucknow ,₹899per plate,700-1000,10,+3 more
Ritz Resort,,8 reviews,Resort,Lucknow ,"₹1,750per plate",125-2000,36,+3 more
Hilton Garden Inn,,8 reviews,4 Star Hotel,"Gomti Nagar, Lucknow ","₹2,300per plate",50-500,124,+3 more
Holiday Inn Lucknow Airport,4.6,4 reviews,5 Star Hotel,"Ashiyana, Lucknow ","₹3,000per plate",900-1800,192,+3 more
Fortune Park BBD Lucknow,5.0,5 reviews,Hotel with Banquet,"Hazratganj, Lucknow ","₹2,499per plate",60-350,63,+3 more
Maple Paradise,,18 reviews,Hotel,"Ashiyana, Lucknow ","₹1,100per plate",200-1200,40,+3 more
Shagun Vatika Lawn,4.5,1 review,Banquet Hall,"Indira Nagar, Lucknow ",₹500per plate,400-500,,+2 more
Divyansh Palace,4.6,27 reviews,Banquet with Lawn,"Jankipuram, Lucknow ",₹600per plate,200-700,7,+5 more
Nattha by Indian Culture,4.7,5 reviews,Banquet Hall,"Naka Hindola, Lucknow ",₹500per plate,60-200,10,+4 more
Hotel Rama Inn,5.0,7 reviews,Hotel with Banquet,"Indira Nagar, Lucknow ",₹699per plate,150-200,30,+3 more
Bhoomi Marriage Lawn,5.0,1 review,Wedding Lawn,"Barel, Lucknow ",₹460per plate,2500-3000,12,+3 more
The Raajputana,,3 reviews,Wedding Lawn,Lucknow ,Price on Request,290-400,,+2 more
Ekana Stadium,5.0,5 reviews,Hotel,Lucknow ,"₹1,400per plate",500-2000,100,+4 more
Safed Baradari,5.0,3 reviews,Lawn & Banquet Hall,Lucknow ,"₹2,00,000per plate",350-1000,2,+4 more
The Hinga Marriage Lawn & Resort,5.0,2 reviews,Lawn & Banquet Hall,Nawabganj ,"₹1,000per plate",200-1500,11,+3 more
Novotel Lucknow Gomti Nagar,4.8,4 reviews,5 Star Hotel,"Gomti Nagar, Lucknow ","₹2,500per plate",100-250,106,+3 more
Grand Rose Cottage and Wedding Lawn,5.0,3 reviews,Wedding Lawn,Lucknow ,Price on Request,1500-2500,,+2 more
Aryan Guest House,4.5,2 reviews,Lawn & Banquet Hall,"Alambagh, Lucknow ",₹600per plate,120-300,,+2 more
"Marriott Renaissance, Lucknow",4.5,7 reviews,5 Star Hotel,"Gomti Nagar, Lucknow ","₹3,500per plate",35-800,111,+3 more
