Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Club Florence,,16 reviews,Club with Lawn & Banquet,"Sushant Lok, Gurgaon ","₹1,500per plate",30-400,16,+3 more
Jubilee Banquets,5.0,1 review,Banquet Hall,Noida ,"₹1,850per plate",50-500,2,+3 more
Green Palms Hotel,5.0,1 review,Hotel,"Shahdara, Ghaziabad ","₹1,100per plate",40-550,25,+4 more
"Taj Coromandel, Chennai",4.8,6 reviews,5 Star Hotel,"Nungambakkam, Chennai ","₹2,000per plate",1000-2000,212,+3 more
The Blue House,4.8,3 reviews,Wedding Lawn,"Sholinganallur, Chennai ",₹500per plate,400-600,,+2 more
Hotel Ambica Empire,5.0,2 reviews,Hotel,"Vadapalani, Chennai ",₹850per plate,40-250,84,+3 more
Palm Tree,5.0,1 review,Banquet Hall,"Anna Nagar, Chennai ",₹500per plate,250-400,,+2 more
The Vijay Park Alandur,,1 review,Hotel,"Alandur, Chennai ",₹650per plate,200-300,87,+3 more
Sri Venkateshwara Thirumana Mandapam,5.0,1 review,Kalyana Mandapam,"Pattabiram, Chennai ",₹350per plate,450-750,,+2 more
Supriya Palace,5.0,1 review,Banquet Hall,Chennai ,"₹90,000per function",250-500,7,+4 more
Sri Sai Sankara Mahal,5.0,1 review,Banquet Hall,"Velachery, Chennai ",₹400per plate,200-350,,+2 more
Mv Paradise,5.0,1 review,Convention Hall,Chennai ,Price on Request,310-1000,,+2 more
Sri Satari Bhavanam,5.0,1 review,Banquet Hall,"Selaiyur, Chennai ",₹300per plate,500-750,10,+3 more
Meenakshi's Narayanan Marriage Hall,5.0,2 reviews,Convention Hall,"Choolaimedu, Chennai ","₹1,40,000per function",650-1000,,+3 more
Olive Orchard Halls,5.0,2 reviews,Banquet Hall,"Kodambakkam, Chennai ",Price on Request,200-300,,+2 more
TGP Kalyana Mandapam,,1 review,Kalyana Mandapam,"Tambaram, Chennai ",₹300per plate,400-600,8,+3 more
IRA Chennai,5.0,4 reviews,Banquet Hall & Lawn,Chennai ,"₹50,000per plate",100-200,,+3 more
The Madras Grand,4.5,1 review,Banquet Hall & Lawn,Chennai ,Price on Request,120-200,26,+3 more
The Kanchi Residency,5.0,1 review,Hotel,"Anna Nagar, Chennai ",Price on Request,200-300,40,+3 more
Sivasakthi Thirumana Mandapam,5.0,1 review,Kalyana Mandapam,Chennai ,₹300per plate,500-750,12,+3 more
U S Party Hall,5.0,1 review,Banquet Hall,"Velachery, Chennai ",₹200per plate,80-150,,+2 more
MGM Eastwoods Resort,5.0,1 review,Resort,"Injambakkam, Chennai ",₹750per plate,15-250,21,+3 more
Friends Park Ammachi Party Hall & Restaurant,5.0,1 review,Lawn & Banquet Hall,"Valasaravakkam, Chennai ",₹250per plate,250-450,,+2 more
"Brightland Resort & Spa, Mahabaleshwar",4.8,3 reviews,Resort,Pune ,₹750per plate,80-500,85,+3 more
"Madhura Lawns, Ravet",5.0,1 review,Wedding Lawn,Pimpri Chinchwad ,₹500per plate,1500-2200,,+2 more
Executive Tamanna Hotel,,2 reviews,Hotel,"Hinjewadi, Pimpri Chinchwad ",₹699per plate,300-1000,40,+3 more
Shailesh Banquet Hall,5.0,1 review,Banquet Hall,"Karve Nagar, Pune ",₹500per plate,200-300,,+2 more
Ramkrishna Mangal Karyalaya,5.0,1 review,Banquet Hall,"Pimpri, Pune ",₹400per plate,700-1000,,+2 more
Thopate Banquets,4.8,5 reviews,Banquet Hall,"Pimple Saudagar, Pimpri Chinchwad ",₹799per plate,900-1200,7,+3 more
Hotel Ambience Excellency,4.5,1 review,Hotel,"Wakad, Pimpri Chinchwad ",₹600per plate,100-300,38,+3 more
Kyriad Hotel,5.0,8 reviews,Hotel,Pimpri Chinchwad ,"₹2,40,000per function",150-250,61,+4 more
Spice Nation,,3 reviews,Hotel,Pimpri Chinchwad ,₹599per plate,100-350,32,+3 more
Mahalakshmi Lawns,4.7,3 reviews,Banquet with Lawn,Pune ,₹550per plate,100-10000,45,+3 more
"10th Mile, Manjri",5.0,2 reviews,Lawn & Banquet Hall,Pune ,₹750per plate,50-700,1,+3 more
Bodh Valley Resort,5.0,13 reviews,Resort,Lonavala ,₹600per plate,300-500,16,+4 more
Shree Sai Kamal Lawns,5.0,3 reviews,Wedding Lawn,"Lohegaon, Pune ",₹400per plate,400-100,2,+4 more
Istana,5.0,1 review,Hotel,"Kalyani Nagar, Pune ","₹1,700per plate",220-400,209,+3 more
City Lawns,5.0,1 review,Banquet Hall,"Kondhwa, Pune ","₹60,000per function",250-300,,+3 more
Punyaee Sabhagruha,5.0,1 review,Banquet Hall,"Kothrud, Pune ",₹350per plate,200-750,,+2 more
The Farmstead,5.0,2 reviews,Wedding Lawn,Pune ,₹800per plate,50-600,17,+3 more
Citrus Hotel,5.0,1 review,Lawn & Banquet Hall,"Pimpri, Pimpri Chinchwad ",₹750per plate,180-500,,+2 more
Kasturba Society Hall,4.5,2 reviews,Banquet Hall,"Vishrantwadi, Pune ","₹50,000per function",350-400,,+3 more
"The Urban Club, Kalyani Nagar",5.0,1 review,Banquet Hall,"Kalyani Nagar, Pune ",₹650per plate,400-600,,+2 more
Hotel Golden Orchid,5.0,1 review,Banquet Hall,"Nirala Nagar, Lucknow ","₹1,100per plate",150-400,28,+3 more
Umang Marriage Lawn,5.0,10 reviews,Lawn & Banquet Hall,"Chinhat, Lucknow ","₹1,00,000per function",400-1600,,+3 more
The Blossom Banquet,5.0,1 review,Banquet Hall,Lucknow ,₹750per plate,235-300,2,+3 more
Shahi Bhavan,5.0,1 review,Wedding Lawn,Lucknow ,Price on Request,150-200,7,+3 more
Dolphin Club,,2 reviews,Hotel,Lucknow ,"₹1,400per plate",100-1000,33,+4 more
VJ Banquet Hall,4.9,17 reviews,Banquet Hall,"Aminabad, Lucknow ",₹500per plate,120-200,11,+5 more
The Regnant,5.0,3 reviews,Hotel,"Nirala Nagar, Lucknow ","₹1,750per plate",65-1000,87,+3 more
Geet Paradise Lawn,5.0,3 reviews,Wedding Lawn,Lucknow ,"₹1,20,000per function",700-1500,2,+4 more
Hyatt Regency Lucknow,4.8,6 reviews,5 Star Hotel,"Gomti Nagar, Lucknow ","₹3,000per plate",90-650,206,+3 more
Utsav Marriage Hall,5.0,1 review,Wedding Lawn,"Dubagga, Lucknow ",₹150per plate,600-1000,,+2 more
Awadh Castle,5.0,1 review,Lawn & Banquet Hall,"Gomti Nagar, Lucknow ","₹1,000per plate",100-1500,11,+3 more
The Mahanagar Lawns,5.0,1 review,Lawn & Banquet Hall,"Aliganj, Lucknow ","₹1,80,000per function",80-400,3,+4 more
Tarang Banquets,5.0,1 review,Banquet Hall,"Gomti Nagar, Lucknow ",₹850per plate,300-500,13,+3 more
Vint Club,5.0,1 review,Lawn & Banquet Hall,Lucknow ,"₹1,600per plate",150-2000,10,+3 more
Hotel Clarks Avadh Lucknow,4.5,15 reviews,5 Star River View Hotel,"Hazratganj, Lucknow ","₹3,200per plate",40-1200,97,+3 more
Madhurima Hotel,5.0,1 review,Banquet Hall,"Gomti Nagar, Lucknow ",₹850per plate,180-200,27,+3 more
The Shaurya Inn,5.0,1 review,Banquet Hall,Lucknow ,₹799per plate,100-150,13,+3 more
Saraca Hotel Lucknow,4.7,28 reviews,5 Star Hotel,Lucknow ,"₹3,700per plate",50-700,41,+3 more
The Revanta,5.0,1 review,Hotel,Lucknow ,"₹1,350per plate",80-800,50,+3 more
Dcorbiz ,,2 reviews,Resort,Lucknow ,"₹1,575per plate",200-1500,20,+3 more
Rajtilak Banquet & Resort,5.0,1 review,Lawn & Banquet Hall,"Kalwar Road, Jaipur ",₹600per plate,800-2250,12,+3 more
Alankara Hotel & Resort,5.0,1 review,,Jaipur ,"₹2,000per plate",400-1000,75,+3 more
Green Palms Wedding Resorts,4.8,2 reviews,Resort,"Amer, Jaipur ",₹600per plate,200-3000,38,+3 more
Hilton Jaipur,5.0,3 reviews,5 Star Hotel,Jaipur ,"₹1,200per plate",220-350,179,+3 more
Mannat Resort,5.0,2 reviews,Resort,Jaipur ,"₹1,600per plate",650-1000,22,+3 more
Chanda Farm House,5.0,1 review,Farmhouse,"Sanganer, Jaipur ",Price on Request,450-700,,+2 more
Lakshmi Vilas Palace,5.0,2 reviews,Hotel,Jaipur ,"₹2,500per plate",150-1200,80,+4 more
Hotel Aapni Dhani,5.0,1 review,Lawn & Banquet Hall,"Harmada, Jaipur ",Price on Request,100-250,,+2 more
Jaibagh Palace,4.8,13 reviews,Palace Wedding Venue,"Kukas, Jaipur ","₹2,500per plate",150-1800,143,+5 more
East Lawn Entertainment Paradise,4.8,6 reviews,Lawn & Banquet Hall,"Jawahar Circle, Jaipur ","₹1,800per plate",1400-3000,,+2 more
Rajmahal Palace RAAS Jaipur,,3 reviews,Fort / Palace Hotel,Jaipur ,"₹3,500per plate",120-6000,14,+4 more
Park Ocean,5.0,3 reviews,Hotel,"Sikar Road, Jaipur ",₹750per plate,30-175,48,+3 more
Hotel Maans Heritage,,1 review,Banquet Hall,"Raja Park, Jaipur ",Price on Request,75-120,,+2 more
My Village Garden,5.0,2 reviews,Lawn & Banquet Hall,"Mansarovar, Jaipur ",₹850per plate,200-450,,+2 more
Dhan Baagh Resort,5.0,1 review,Wedding Lawn,"Jhotwara, Jaipur ",₹450per plate,3000-5000,,+2 more
Hotel Jaipur Legacy,4.9,5 reviews,Hotel,"Mansarovar, Jaipur ",₹850per plate,90-400,30,+3 more
Hotel Royal Celebration Inn,5.0,1 review,Banquet Hall & Lawn,"Bhankrota, Jaipur ",₹500per plate,1000-1500,27,+3 more
Shakun Hotels & Resorts,5.0,1 review,Resort,Jaipur ,"₹1,299per plate",250-450,76,+3 more
The Florence Resort,5.0,1 review,Resort,Jaipur ,Price on Request,700-1200,53,+3 more
The Victoria Palace,,2 reviews,Lawn & Banquet Hall,"Sanganer, Jaipur ","₹3,01,000per function",350-1000,15,+4 more
Remedra Hotels and Residences,5.0,1 review,4 Star Boutique Hotel,Faridabad ,"₹1,850per plate",35-150,96,+3 more
Kasha Farms,5.0,23 reviews,Farmhouse,Gurgaon ,"₹1,500per plate",1000-1200,4,+5 more
Bloom Haven by Madaan’s,5.0,1 review,Banquet Hall,"Chhota Anangpur, Faridabad ","₹1,500per plate",100-500,18,+3 more
FM Garden,,10 reviews,Lawn with Banquet,"Noida, Noida ",₹900per plate,300-600,5,+4 more
The Atara,,1 review,Banquet Hall,"DLF Phase 1, Gurgaon ",₹600per plate,60-70,15,+4 more
The Aura,,5 reviews,Hotel with Banquet & Lawn,Noida ,"₹3,000per plate",180-1500,40,+3 more
Ayatti by Caparo,,64 reviews,Large Lawn & Banquet,"Greater Noida, Greater Noida ","₹1,650per plate",75-5000,28,+6 more
Botanix Nature Resort,,6 reviews,Resort Near Delhi,"Sohna Road, Gurgaon ","₹2,700per plate",160-1000,40,+4 more
Frolic Farms & Banquets,,8 reviews,Farmhouse,"Noida, Noida ","₹1,100per plate",200-350,,+3 more
Rosella by Sk,5.0,1 review,Banquet Hall,Noida ,"₹2,500per plate",150-1000,2,+3 more
Wow Palace Banquet,,9 reviews,Banquet Hall,"Indirapuram, Ghaziabad ",₹800per plate,50-600,1,+4 more
MST Farm & Resort,4.6,4 reviews,Farmhouse with Banquet,"Ghaziabad, Ghaziabad ","₹2,499per plate",100-1200,33,+3 more
Dr. Karamvir Garden,4.8,13 reviews,Banquet Hall & Lawn,"Faridabad, Faridabad ","₹1,600per plate",120-1200,12,+3 more
Vedantam Banquets,5.0,4 reviews,Banquet Hall,Ghaziabad ,₹999per plate,30-250,12,+4 more
Mahipal Green Valley,,16 reviews,Farmhouse,"Chhota Anangpur, Faridabad ","₹1,500per plate",200-800,20,+4 more
The Mayfair Grand,5.0,4 reviews,Banquet Hall & Lawn,Noida ,"₹4,000per plate",150-800,7,+3 more
The Grand Palace,,11 reviews,Hotel with Banquet,"Indirapuram, Ghaziabad ","₹1,300per plate",100-400,45,+4 more
Queens Lawn and Banquet,4.9,11 reviews,Banquet Hall,"New Industrial Town, Faridabad ","₹1,300per plate",250-1500,3,+5 more
VITTORIO Banquet & Lawn,5.0,3 reviews,Large Lawn & Banquet,"Sector 13, Gurgaon ",Price on Request,100-1000,2,+3 more
The Great Callina Banquet Hall,4.7,18 reviews,Hotel with Banquet,"Sahibabad, Ghaziabad ","₹1,400per plate",250-500,5,+4 more
"WelcomHotel by ITC, Cathedral Road",5.0,1 review,4 Star Hotel,Chennai ,Price on Request,300-500,90,+3 more
PR Palace Wedding Hall & Convention Centre,4.5,2 reviews,Convention Hall,"Kovilambakkam, Chennai ",₹499per plate,90-1100,,+2 more
Sri Vedantha Desika Hall,5.0,1 review,Banquet Hall,"Mylapore, Chennai ",₹300per plate,150-250,,+2 more
Kubera Banquets,5.0,1 review,Banquet Hall,"GST Road, Chennai ",₹500per plate,80-400,,+2 more
Lakshmi Balaraman Thirumana Koodam,5.0,1 review,Banquet Hall,"Anna Nagar, Chennai ",₹300per plate,600-900,,+3 more
Sree Varaaham Hall,,2 reviews,Banquet Hall,"Koyambedu, Chennai ",₹400per plate,750-1500,22,+3 more
Luz House,5.0,5 reviews,Banquet Hall,"Mylapore, Chennai ","₹69,502per function",80-150,,+3 more
New Woodlands Hotel,4.5,4 reviews,Hotel,"Mylapore, Chennai ",₹400per plate,400-1200,140,+3 more
Ambassador Pallava Hotel,5.0,2 reviews,4 Star Hotel,"Egmore, Chennai ",₹900per plate,50-650,100,+3 more
Kanthimathi Kalyana Mandapam,5.0,2 reviews,Kalyana Mandapam,"Parthasarathi, Chennai ",₹350per plate,400-600,,+2 more
M Weddings & Conventions,4.8,6 reviews,Hotel,"Vanagaram, Chennai ",₹500per plate,250-1600,30,+3 more
"Welcomhotel by ITC Hotels, GST Road, Chennai",5.0,5 reviews,5 Star Hotel,Guduvanchery ,"₹75,000per plate",100-600,171,+4 more
Palmshore Restaurant Koyambedu,5.0,1 review,Banquet Hall,"Koyambedu, Chennai ",Price on Request,200-300,,+2 more
Inayath Mahal,5.0,1 review,Convention Hall,"Pallavaram, Chennai ",₹350per plate,1000-1500,,+2 more
AVM Rajeswari Kalyana Mandapam,5.0,3 reviews,Kalyana Mandapam,"Mylapore, Chennai ",₹525per plate,800-1200,,+3 more
Hotel Sulaiha,5.0,1 review,Lawn & Banquet Hall,Chennai ,Price on Request,70-400,16,+3 more
Sree Akshayam Vaibhavam Hall,5.0,3 reviews,Banquet Hall,"Anna Nagar, Chennai ",₹250per plate,100-150,,+2 more
Hotel Kanchi,5.0,1 review,Hotel,"Egmore, Chennai ",₹375per plate,200-600,50,+3 more
Don Bosco Auditorium,5.0,1 review,Banquet Hall,"Egmore, Chennai ",Price on Request,500-600,,+2 more
Avadi Nadar Thirumana Maligai,5.0,1 review,Banquet Hall,"Avadi, Avadi ",₹300per plate,275-450,,+2 more
Eastin Easy Aishwarya Talegaon,,4 reviews,Hotel,Pune ,₹750per plate,250-600,90,+3 more
Vansrushti Agro Tourism Resort,5.0,1 review,Wedding Lawn,Pune ,Price on Request,150-250,11,+3 more
Regal Banquets at Chakan MIDC,5.0,4 reviews,Hotel,"Pimpri, Pimpri Chinchwad ",₹800per plate,40-350,115,+3 more
"Lemon Tree Hotel, Viman Nagar",5.0,1 review,Hotel,"Kasba Peth, Pune ",₹700per plate,40-50,69,+3 more
Soyrik Garden,5.0,1 review,Lawn & Banquet Hall,"Wagholi, Pune ","₹60,000per function",120-800,,+3 more
"Hillridge Lavish Villa, Mulshi",,,Farmhouse,Pune ,"₹80,000per function",120-150,6,+4 more
Garve Lawns,5.0,3 reviews,Lawn & Banquet Hall,"Pimple Saudagar, Pimpri Chinchwad ",Price on Request,300-1000,,+2 more
Nishigandha Lawns and Convention Centre,5.0,2 reviews,Convention Hall,"Hinjewadi, Pimpri Chinchwad ","₹1,200per plate",500-3000,14,+3 more
Hotel TipTop International,5.0,6 reviews,Hotel,"Wakad, Pimpri Chinchwad ","₹1,500per plate",2000-2500,200,+3 more
"Citrus , Lonavala",5.0,1 review,Hotel,Lonavala ,₹900per plate,150-200,35,+3 more
Datta Krushnai Mangal Karyalay,5.0,1 review,Wedding Lawn,"Sinhagad Road, Pune ","₹75,000per function",1000-1500,,+3 more
Alpa Bachat Bhavan,4.5,2 reviews,Banquet Hall & Lawn,"Camp, Pune ",₹550per plate,400-1500,,+2 more
Ambrosia Resort,,1 review,Resort,"Bavdhan, Pune ",₹649per plate,50-700,50,+3 more
Toss Sports Lounge,5.0,1 review,Party Restaurant / Lounge,"Camp, Pune ",₹550per plate,40-60,,+2 more
"Radisson Blu Hotel, Pune Kharadi",4.8,7 reviews,4 Star Hotel,Pune ,"₹1,375per plate",40-400,141,+3 more
Vardhaman Lawns,5.0,1 review,Banquet Hall & Lawn,"Bibwewadi, Pune ","₹3,30,000per function",80-2000,,+3 more
Dawoodi Bohra Community Hall,5.0,1 review,Wedding Lawn,Lonavala ,Price on Request,700-800,,+2 more
Keshavbaug Pune,5.0,1 review,Wedding Lawn,Pune ,₹550per plate,700-800,2,+3 more
Kunjir Lawns,,1 review,Wedding Lawn,Pune ,₹500per plate,1300-2000,,+2 more
Urban Banquets,5.0,6 reviews,Banquet Hall,"Yerawada, Pune ",₹800per plate,300-550,2,+4 more
Balrampur Gardens,5.0,4 reviews,Wedding Lawn,"Hazratganj, Lucknow ","₹1,50,000per function",2000-3000,,+3 more
Nirvana,,,Wedding Lawn,Lucknow ,"₹3,50,000per function",300-1000,2,+4 more
S.K. Palace Banquet Halls,5.0,1 review,Lawn & Banquet Hall,"Indira Nagar, Lucknow ",₹400per plate,150-1500,18,+3 more
Shri Vidhya Lawns,5.0,2 reviews,Lawn & Banquet Hall,Lucknow ,Price on Request,250-700,,+2 more
La Casa Residency,,,Hotel,Lucknow ,"₹1,150per plate",80-100,15,+3 more
Comfort Hotel Vista,4.9,8 reviews,Hotel,Lucknow ,"₹1,599per plate",50-400,42,+3 more
B R Palace,,1 review,Wedding Lawn,Lucknow ,₹550per plate,1500-2000,,+2 more
Atal Bihari Vajpayee Scientific Convention Centre,5.0,1 review,Lawn & Banquet Hall,Lucknow ,₹550per plate,200-500,,+2 more
Shyam Satsang Bhawan,5.0,1 review,Lawn & Banquet Hall,"Mahanagar, Lucknow ",₹800per plate,60-300,,+2 more
"The Central Hotel, Lucknow",,1 review,Hotel,"Aminabad, Lucknow ",₹525per plate,50-400,35,+3 more
Hotel Sandstone Inn,5.0,1 review,Banquet Hall,"Aliganj, Lucknow ",₹750per plate,100-150,20,+3 more
Nilansh Theme Park Resort & Water Park,5.0,2 reviews,Resort,Lucknow ,"₹1,500per plate",40-2500,145,+3 more
Dreamy Delicacies,5.0,1 review,Banquet Hall,"Vikas Nagar, Lucknow ",₹650per plate,50-120,,+2 more
Banana County,,2 reviews,Banquet Hall & Lawn,Lucknow ,"₹1,000per plate",800-2000,9,+3 more
R.S Lawn,,3 reviews,Wedding Lawn,Lucknow ,₹600per plate,1500-2500,6,+4 more
Parwati Marriage Lawn,,,Wedding Lawn,Lucknow ,₹600per plate,600-1000,,+2 more
Arsim International,4.7,72 reviews,Banquet Hall,"Nirala Nagar, Lucknow ","₹1,250per plate",600-700,25,+5 more
Hotel Kingston House,4.9,8 reviews,Hotel with Banquet & Lawn,"Gomti Nagar, Lucknow ",₹850per plate,35-300,20,+3 more
Brijwasi Lawn Lucknow,4.8,13 reviews,Banquet Hall & Lawn,"Kanpur Road, Lucknow ",₹600per plate,60-600,3,+3 more
Ranthambore Banquet Hall and Lawn,,,Banquet Hall & Lawn,Lucknow ,"₹1,400per plate",400-1500,18,+3 more
Hotel Anju Shree Inn,5.0,4 reviews,Banquet Hall,Jaipur ,₹700per plate,200-250,20,+3 more
Bara Bungalow Amer,5.0,1 review,Wedding Lawn,"Amer, Jaipur ","₹1,900per plate",100-150,10,+3 more
Pinkcity Garden & Resorts,5.0,1 review,Banquet Hall & Lawn,"Vaishali Nagar, Jaipur ",₹600per plate,300-5000,,+2 more
Jaipur Vilas Resort,5.0,1 review,Lawn & Banquet Hall,"Muhana Mandi Road, Jaipur ",₹899per plate,200-2500,,+2 more
Janki Paradise Marriage Garden,,1 review,Wedding Lawn,"Gandhi Path, Jaipur ","₹1,500per plate",2000-3000,,+2 more
Radha Govind Villas Marriage Garden,4.5,1 review,Lawn & Banquet Hall,"Niwaru Road, Jaipur ",₹500per plate,100-1500,,+2 more
Virasat Restaurant,5.0,1 review,Party Restaurant / Lounge,"Lal Kothi, Jaipur ",₹700per plate,50-120,,+2 more
Chokhi Dhani Resort,5.0,2 reviews,Resort,"Sitapura, Jaipur ","₹2,500per plate",60-500,103,+3 more
Swaruchi Palace,5.0,1 review,Fort / Palace Hotel,"Nirman Nagar, Jaipur ",₹500per plate,50-300,,+2 more
Samurai Farms,5.0,1 review,Wedding Lawn,Jaipur ,₹850per plate,1250-2000,,+2 more
Hotel Shubh Vilas,5.0,1 review,Hotel,Jaipur ,₹800per plate,70-450,34,+4 more
Talwaria Marriage Garden,,1 review,Lawn & Banquet Hall,"Gopalpura, Jaipur ",₹600per plate,90-900,,+2 more
Mandawa Haveli,5.0,2 reviews,Fort / Palace Hotel,"Sindhi Camp, Jaipur ",₹650per plate,80-100,70,+3 more
WelcomHeritage Traditional Haveli,5.0,1 review,Banquet Hall,"Bani Park, Jaipur ","₹1,200per plate",80-100,24,+3 more
Shree Govindam Banquet,5.0,2 reviews,Banquet Hall,Jaipur ,₹600per plate,100-125,,+2 more
Yohaan Farms,5.0,1 review,Wedding Lawn,Jaipur ,"₹1,000per plate",300-500,4,+4 more
Shri Balaji Paradise Marriage Hall,,1 review,Banquet Hall,"Sanganer, Jaipur ",₹550per plate,300-500,,+2 more
Hotel Highway King Bagru,5.0,2 reviews,Hotel with Banquet & Lawn,"Ajmer Road, Jaipur ","₹1,500per plate",50-1000,100,+3 more
Krishna Garden,5.0,1 review,Lawn & Banquet Hall,"Sanganer, Jaipur ",₹600per plate,150-700,,+3 more
"V One Pride, a unit of V One Hotels Pvt Ltd",5.0,2 reviews,Banquet Hall & Lawn,"Nirman Nagar, Jaipur ",₹400per plate,70-800,28,+3 more
Nutmeg Events and Catering,5.0,19 reviews,Farmhouse,Noida ,"₹2,000per plate",80-250,9,+7 more
Hibiscus Select Hotel,4.9,7 reviews,Hotel with Banquet & Lawn,Greater Noida ,"₹1,500per plate",100-200,84,+4 more
H M White House Resort,5.0,8 reviews,Farmhouse,"South Delhi, Delhi NCR ","₹1,50,000per function",50-300,,+3 more
Ramada Encore by Wyndham Gurugram Dwarka Expressway,,17 reviews,4 Star Hotel,Gurgaon ,"₹2,400per plate",12-250,91,+4 more
"Holiday Inn Gurgaon NH8, an IHG Hotel",5.0,1 review,Hotel with Banquet,Gurgaon ,"₹3,200per plate",100-300,137,+3 more
Cinderella Farms by Bel-laMonde,4.8,6 reviews,Large Lawn & Banquet,"South Delhi, Delhi NCR ","₹4,000per plate",600-2500,2,+3 more
Resort Country Club,4.8,12 reviews,4 Star Hotel,"Manesar, Bissar Akbarpur ","₹1,800per plate",20-3000,117,+4 more
Shubh Celebrations,4.8,30 reviews,Farmhouse,"East Delhi, Noida ","₹1,800per plate",150-1000,3,+5 more
S.Courtyard,4.9,18 reviews,Banquet Hall,"Faridabad, Faridabad ","₹2,000per plate",1000-1200,4,+7 more
Vishalgarh Farms,5.0,5 reviews,Farmhouse with Banquet,"Sohna Road, Gurgaon ","₹1,500per plate",300-5000,16,+3 more
The Pharaohs Resort,5.0,33 reviews,Resort,"Rohtak Road, Delhi NCR ","₹1,500per plate",250-1400,15,+6 more
The Adiraa,5.0,1 review,Centrally Located Banquet,"Noida, Noida ","₹2,500per plate",100-1000,17,+4 more
Kashish Residency & Banquet,5.0,3 reviews,Banquet Hall,"Noida, Noida ",₹950per plate,50-150,20,+3 more
Hotel Arch Plaza,5.0,14 reviews,Hotel with Banquet & Lawn,"Kapashera, Delhi NCR ","₹1,200per plate",25-200,42,+5 more
Iconic Garden,4.9,16 reviews,Large Lawn & Banquet,Greater Noida ,"₹1,100per plate",180-2000,1,+3 more
Kaiser Palace,5.0,16 reviews,Banquet with Lawn,"Gurgaon, Gurgaon ","₹1,800per plate",300-1400,2,+4 more
"Gurmon Hotels Sohna Road Gurugram, A Member of Radisson Individuals",4.9,8 reviews,4 Star Hotel,"Sohna Road, Delhi NCR ","₹1,500per plate",200-600,51,+3 more
"THE Park, New Delhi",4.8,8 reviews,5 Star City Center Hotel,"Connaught Place, Delhi NCR ","₹3,500per plate",25-500,220,+3 more
Hotel Arch - Near Aerocity New Delhi,4.9,5 reviews,Hotel with Banquet,"New Delhi, Delhi NCR ","₹1,000per plate",100-150,56,+3 more
Madhuvan Banquet & Lawn Raj Nagar Ghaziabad,4.8,11 reviews,Banquet Hall & Lawn,Ghaziabad ,"₹1,200per plate",200-1000,5,+4 more
